designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,x,y,z
Gaia DR3 2014924125275395840,2014924125275395840,347.6019168141903,61.57190911559182,42.90345339783474,228.8049808802984,-207.29649405380357,1.2060832,14.420781,3.2483807,-21.125563,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3025.9412,5.1301,-0.3877,23.1852,0.0,0.0,0.0,0.06540698029725055,-0.014378363351483587,0.1237110612348267
Gaia DR3 2313836325604479872,2313836325604479872,358.5028823982514,-33.275290573200515,43.121659122389765,-306.4393116030207,-416.28653962088697,1.5988572,12.250281,2.6623402,17.99401,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3171.7566,4.2666,-1.0378,23.1898,0.0025,0.0016,0.0011,0.11754637939009645,-0.003072142778721873,-0.07716733491599198
Gaia DR3 2248503275965828480,2248503275965828480,295.54457479089456,65.64315474559422,43.19173243074137,263.16829546877744,333.0953550649082,1.2027317,12.110024,2.590743,-18.505642,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3206.5513,4.541,-0.4628,23.198,0.0125,0.008,0.0051,0.025003733239277157,-0.05231663283546491,0.12808273916382232
Gaia DR3 3547944531854903168,3547944531854903168,173.07993865014086,-16.969740334433155,43.08994439990872,167.61960637713037,-232.86692330841956,1.2227781,10.621315,2.096367,10.027195,VARIABLE,0,True,True,False,True,False,True,True,3622.7166,4.6472,-0.4653,23.2033,0.0042,0.0029,0.0017,-0.13346477825112268,0.016198430071479458,-0.041026080792372716
Gaia DR3 2384877214983800448,2384877214983800448,349.2524114671879,-23.39737860373999,43.026854081971045,306.9932264933058,-243.2213355054353,1.2080534,10.176598,1.8532906,51.659,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3862.3433,4.7265,-0.148,23.2091,0.0004,0.0003,0.0001,0.1267115942819208,-0.024051422611331575,-0.055805038663087
Gaia DR3 2461045711199481472,2461045711199481472,27.34656392669115,-10.703948475569574,41.80003753947925,-159.84578621669064,-70.6658592150867,7.395736,6.5895314,0.808414,-3.3129008,NOT_AVAILABLE,1,True,True,False,False,False,True,True,5653.7954,4.3814,-0.6865,23.2124,0.0,0.0,0.0,0.12263500837361578,0.06342291602611387,-0.026097416182269514
Gaia DR3 3005809226902815360,3005809226902815360,93.15705472167927,-8.440062698931841,42.94630466899771,-205.53751535975627,-152.63204023316746,1.193807,14.056482,3.1749058,3.257421,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3047.366,5.0749,-0.2139,23.2171,0.0004,0.0002,0.0002,-0.00765293467647802,0.13874862694247453,-0.020619050112832323
Gaia DR3 6187224127342923776,6187224127342923776,194.9226197481297,-26.837657682955708,43.3554574884336,-202.8106060854278,3.586028620244073,1.5486565,12.425463,2.6542244,-2.704987,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3078.485,4.3001,-0.7831,23.218,0.0007,0.0005,0.0003,-0.12111746106133285,-0.0322780711135013,-0.06341964149621097
Gaia DR3 3369198983818682624,3369198983818682624,95.43403931928518,16.322194176487333,43.05810692600297,241.37863377208924,-148.96392166125082,1.0444088,11.581482,2.3525896,-13.0690975,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3225.4563,4.2094,-0.9059,23.2195,0.0004,0.0003,0.0002,-0.012766013229776404,0.13419929957157795,0.03947646861323171
Gaia DR3 1781003885454165888,1781003885454165888,328.2722801797642,20.930072224762025,43.03187147608711,-5.256919982591271,-100.69294071512618,1.0366479,7.9132705,1.105978,13.425263,NOT_AVAILABLE,0,True,True,False,False,False,True,True,4887.507,4.5445,-0.2028,23.2228,0.0,0.0,0.0,0.11157552402300043,-0.06898504150403881,0.05017144600121758
